Data,Godzina,Generacja źródeł wiatrowych,Generacja źródeł fotowoltaicznych
2022-01-11,19,425.863,0.000
2022-01-11,20,603.800,0.000
2022-01-11,21,680.038,0.000
2022-01-11,22,765.138,0.000
2022-01-11,23,910.588,0.000
2022-01-11,24,945.488,0.000
2022-01-12,1,901.563,0.000
2022-01-12,2,907.813,0.000
2022-01-12,3,853.388,0.000
2022-01-12,4,842.338,0.000
2022-01-12,5,774.675,0.000
2022-01-12,6,698.863,0.000
2022-01-12,7,665.300,0.000
2022-01-12,8,654.350,3.888
2022-01-12,9,715.663,88.213
2022-01-12,10,752.938,278.125
2022-01-12,11,864.613,444.413
2022-01-12,12,916.600,682.200
2022-01-12,13,973.113,814.313
2022-01-12,14,1128.050,729.938
2022-01-12,15,1135.950,531.713
2022-01-12,16,1143.800,214.088
2022-01-12,17,1360.288,20.063
2022-01-12,18,1567.138,0.025
2022-01-12,19,1800.225,0.138
2022-01-12,20,1958.563,0.238
2022-01-12,21,2129.938,0.063
2022-01-12,22,2216.238,0.063
2022-01-12,23,2666.750,0.063
2022-01-12,24,3233.450,0.100
2022-01-13,1,3692.700,0.100
2022-01-13,2,4045.125,0.100
2022-01-13,3,4412.338,0.100
2022-01-13,4,4603.525,0.100
2022-01-13,5,4798.175,0.113
2022-01-13,6,5062.600,0.113
2022-01-13,7,5261.863,0.213
2022-01-13,8,5309.988,2.638
2022-01-13,9,5442.788,56.300
2022-01-13,10,5539.138,182.850
2022-01-13,11,5604.763,333.938
2022-01-13,12,5674.875,445.175
2022-01-13,13,5754.013,436.525
2022-01-13,14,5756.675,348.963
2022-01-13,15,5758.500,239.038
2022-01-13,16,5814.375,103.738
2022-01-13,17,5930.325,15.363
2022-01-13,18,6003.975,0.000
2022-01-13,19,6083.575,0.000
2022-01-13,20,6125.275,0.000
2022-01-13,21,6126.738,0.000
2022-01-13,22,6182.400,0.000
2022-01-13,23,6176.975,0.000
2022-01-13,24,6196.988,0.000
2022-01-14,1,6213.875,0.000
2022-01-14,2,6223.863,0.000
2022-01-14,3,6183.925,0.000
2022-01-14,4,6177.100,0.000
2022-01-14,5,6169.575,0.000
2022-01-14,6,6194.575,0.000
2022-01-14,7,6277.925,0.000
2022-01-14,8,6193.575,0.913
2022-01-14,9,6240.950,43.675
2022-01-14,10,6260.863,121.125
2022-01-14,11,6192.388,315.088
2022-01-14,12,6293.800,582.813
2022-01-14,13,6301.613,653.325
2022-01-14,14,6266.525,530.738
2022-01-14,15,6228.438,381.050
2022-01-14,16,6156.663,177.200
2022-01-14,17,6016.125,19.250
2022-01-14,18,5860.813,0.000
2022-01-14,19,5745.488,0.000
2022-01-14,20,5665.913,0.000
2022-01-14,21,5566.625,0.000
2022-01-14,22,5476.025,0.000
2022-01-14,23,5121.638,0.000
2022-01-14,24,4799.538,0.000
2022-01-15,1,4656.675,0.000
2022-01-15,2,4451.088,0.000
2022-01-15,3,4407.175,0.000
2022-01-15,4,4289.875,0.000
2022-01-15,5,4126.325,0.000
2022-01-15,6,3954.638,0.000
2022-01-15,7,3688.575,0.000
2022-01-15,8,3313.250,8.875
2022-01-15,9,2920.550,108.125
2022-01-15,10,2618.875,601.525
2022-01-15,11,2270.225,1189.613
2022-01-15,12,2117.200,1475.888
2022-01-15,13,2066.738,1486.725
2022-01-15,14,2002.488,1302.675
2022-01-15,15,1714.175,914.475
2022-01-15,16,1601.550,368.425
2022-01-15,17,1622.550,32.325
2022-01-15,18,1599.388,0.000
2022-01-15,19,1365.775,0.000
2022-01-15,20,1165.563,0.000
2022-01-15,21,987.075,0.000
2022-01-15,22,911.975,0.000
2022-01-15,23,925.238,0.000
2022-01-15,24,916.625,0.000
2022-01-16,1,848.525,0.000
2022-01-16,2,865.563,0.000
2022-01-16,3,904.713,0.000
2022-01-16,4,976.963,0.000
2022-01-16,5,1046.125,0.000
2022-01-16,6,1110.025,0.000
2022-01-16,7,1203.288,0.000
2022-01-16,8,1341.113,4.438
2022-01-16,9,1609.400,137.988
2022-01-16,10,1684.750,459.563
2022-01-16,11,1648.675,824.800
2022-01-16,12,1640.425,1146.775
2022-01-16,13,1770.713,1228.588
2022-01-16,14,2111.788,922.925
2022-01-16,15,2307.888,560.038
2022-01-16,16,2940.850,313.125
2022-01-16,17,3872.588,43.088
2022-01-16,18,4495.275,0.000
2022-01-16,19,4874.613,0.000
2022-01-16,20,5298.950,0.000
2022-01-16,21,5574.050,0.000
2022-01-16,22,5818.688,0.000
2022-01-16,23,5955.025,0.000
2022-01-16,24,6061.675,0.000
2022-01-17,1,6193.675,0.000
2022-01-17,2,6232.075,0.000
2022-01-17,3,6178.913,0.000
2022-01-17,4,6071.175,0.000
2022-01-17,5,5914.363,0.000
2022-01-17,6,5672.363,0.000
2022-01-17,7,5650.338,0.000
2022-01-17,8,5614.550,1.425
2022-01-17,9,5698.400,38.663
2022-01-17,10,5771.988,132.963
2022-01-17,11,5890.363,338.638
2022-01-17,12,5864.563,588.875
2022-01-17,13,6029.900,739.325
2022-01-17,14,6079.725,929.438
2022-01-17,15,6109.463,732.263
2022-01-17,16,6127.138,278.188
2022-01-17,17,5876.513,26.375
2022-01-17,18,5569.475,0.000
2022-01-17,19,5398.588,0.000
2022-01-17,20,5026.163,0.000
2022-01-17,21,4673.638,0.000
2022-01-17,22,4416.288,0.000
2022-01-17,23,4342.263,0.000
2022-01-17,24,4303.200,0.000
2022-01-18,1,4311.750,0.000
2022-01-18,2,4438.075,0.000
2022-01-18,3,4404.175,0.000
2022-01-18,4,4405.913,0.000
2022-01-18,5,4101.150,0.000
2022-01-18,6,3829.088,0.000
2022-01-18,7,3364.788,0.000
2022-01-18,8,3321.738,9.075
2022-01-18,9,3124.188,126.313
2022-01-18,10,2479.700,563.088
2022-01-18,11,2007.600,955.975
2022-01-18,12,1640.250,1185.875
2022-01-18,13,1439.538,1250.488
2022-01-18,14,1348.000,1141.925
2022-01-18,15,1377.200,825.700
2022-01-18,16,1627.050,345.113
2022-01-18,17,1962.675,27.050
2022-01-18,18,2179.163,0.000
2022-01-18,19,2369.850,0.000
2022-01-18,20,2444.888,0.000
2022-01-18,21,2648.550,0.000
2022-01-18,22,2672.750,0.000
2022-01-18,23,2764.625,0.000
2022-01-18,24,3030.013,0.000
2022-01-19,1,3166.138,0.000
2022-01-19,2,3274.600,0.000
2022-01-19,3,3403.450,0.000
2022-01-19,4,3416.688,0.000
2022-01-19,5,3393.338,0.000
2022-01-19,6,3349.100,0.000
2022-01-19,7,3236.413,0.000
2022-01-19,8,3132.975,3.600
2022-01-19,9,3060.138,93.238
