ADB_COUNTRY_CODE,ISO_CODE,COUNTRY_NAME,Geographic Regions,EU Members,Top 5 RES Energy Producers
MNP,MNP,Northern Mariana Islands,Asia Pacific,Non-member,other
NOR,NOR,Norway,Europe,Non-member,other
OMAN,OMN,Oman,Middle East,Non-member,other
PAK,PAK,Pakistan,Middle East,Non-member,other
PLW,PLW,Palau,Asia Pacific,Non-member,other
PSE,PSE,"Palestinian Territory, Occupied",Unclassified,Non-member,other
PAN,PAN,Panama,Latin America & Caribbean,Non-member,other
PNGU,PNG,Papua New Guinea,Asia Pacific,Non-member,other
PAR,PRY,Paraguay,Latin America & Caribbean,Non-member,other
PER,PER,Peru,Latin America & Caribbean,Non-member,other
PHIL,PHL,Philippines,Asia Pacific,Non-member,other
PCN,PCN,Pitcairn,Unclassified,Non-member,other
POL,POL,Poland,Europe,EU Member,other
PORT,PRT,Portugal,Europe,EU Member,other
PRIC,PRI,Puerto Rico,Latin America & Caribbean,Non-member,other
QAT,QAT,Qatar,Middle East,Non-member,other
REU,REU,Reunion,Africa,Non-member,other
ROM,ROU,Romania,Europe,EU Member,other
RUS,RUS,Russia,North Asia,Non-member,Top 5 RES Energy Producer
RWA,RWA,Rwanda,Africa,Non-member,other
SHN,SHN,Saint Helena,Unclassified,Non-member,other
SPM,SPM,Saint Pierre And Miquelon,Unclassified,Non-member,other
SMAR,SMR,San Marino,Europe,Non-member,other
SAOT,STP,Sao Tome,Africa,Non-member,other
SARA,SAU,Saudi Arabia,Middle East,Non-member,other
SEN,SEN,Senegal,Africa,Non-member,other
SRB,SRB,Serbia,Europe,Non-member,other
SEY,SYC,Seychelles,Africa,Non-member,other
SLEO,SLE,Sierra Leone,Africa,Non-member,other
SING,SGP,Singapore,Asia Pacific,Non-member,other
SK,SVK,Slovakia,Europe,EU Member,other
SLO,SVN,Slovenia,Europe,EU Member,other
SOL,SLB,Solomon Islands,Asia Pacific,Non-member,other
SOM,SOM,Somalia,Africa,Non-member,other
SOL,SOL,Somaliland,Africa,Non-member,other
AFR,ZAF,South Africa,Africa,Non-member,other
SGS,SGS,South Georgia And The South Sandwich Islands,Unclassified,Non-member,other
SKOR,KOR,South Korea,North Asia,Non-member,other
,SSD,South Sudan,Africa,Non-member,other
SPA,ESP,Spain,Europe,EU Member,other
SL,LKA,Sri Lanka,Asia Pacific,Non-member,other
ST,KNA,St. Kitts,Latin America & Caribbean,Non-member,other
SLUC,LCA,St. Lucia,Latin America & Caribbean,Non-member,other
SV,VCT,St. Vincent,Unclassified,Non-member,other
SUD,SDN,Sudan,Africa,Non-member,other
SUR,SUR,Suriname,Latin America & Caribbean,Non-member,other
SJM,SJM,Svalbard And Jan Mayen Islands,Europe,Non-member,other
SWA,SWZ,Swaziland,Africa,Non-member,other
SWE,SWE,Sweden,Europe,EU Member,other
SWIT,CHE,Switzerland,Europe,Non-member,other
SYR,SYR,Syria,Middle East,Non-member,other
TAI,TWN,Taiwan,Asia Pacific,Non-member,other
TAJ,TJK,Tajikistan,North Asia,Non-member,other
TAN,TZA,Tanzania,Africa,Non-member,other
THAI,THA,Thailand,Asia Pacific,Non-member,other
TOGO,TGO,Togo,Africa,Non-member,other
TKL,TKL,Tokelau,Unclassified,Non-member,other
TONG,TON,Tonga,Unclassified,Non-member,other
TRIT,TTO,Trinidad & Tobago,Latin America & Caribbean,Non-member,other
TUN,TUN,Tunisia,Africa,Non-member,other
